date,u10,v10,u100,v100,production
2020-01-01 01:00:00,2.124600139,-2.681966369,2.864279592,-3.666075765,0.0
2020-01-01 02:00:00,2.521694654,-1.796960091,3.344858672,-2.464761461,0.05487912
2020-01-01 03:00:00,2.672209855,-0.82251622,3.508448017,-1.214092935,0.110233998
2020-01-01 04:00:00,2.457504348,-0.143642299,3.215232513,-0.355546415,0.165116056
2020-01-01 05:00:00,2.245897683,0.389576113,2.957678353,0.332700922,0.156940134
2020-01-01 06:00:00,1.986037616,0.796304215,2.655405999,0.882647967,0.168781126
2020-01-01 07:00:00,1.319786507,1.440680778,1.946707522,1.941323146,0.114744854
2020-01-01 08:00:00,-0.122060579,2.358906734,-0.235427168,4.323884652,0.085424302
2020-01-01 09:00:00,-1.380190581,2.903624265,-3.048145009,6.041520047,0.153181091
2020-01-01 10:00:00,-1.710881331,2.01393316,-4.213648336,4.877628176,0.139272625
2020-01-01 11:00:00,-2.134980044,1.425774513,-5.470852265,3.721329261,0.083826706
2020-01-01 12:00:00,-2.340389024,0.617854922,-6.095208831,1.564929409,0.14782445
2020-01-01 13:00:00,-2.21422187,0.098265096,-5.785577787,0.098403957,0.138708763
2020-01-01 14:00:00,-2.139406961,-0.226265599,-5.605006849,-0.861562778,0.22206559
2020-01-01 15:00:00,-2.020322876,-0.455396195,-5.185561504,-1.845935447,0.241048769
2020-01-01 16:00:00,-1.751608973,-1.251390773,-3.655519982,-4.639601352,0.24584155
2020-01-01 17:00:00,-0.978669148,-2.614675228,-1.485272407,-7.574821673,0.239075273
2020-01-01 18:00:00,-0.234061596,-3.575916406,0.028919628,-8.864539693,0.25345362
2020-01-01 19:00:00,0.247587047,-3.91194622,1.005927274,-9.025076503,0.302039275
2020-01-01 20:00:00,0.371540741,-3.726682635,1.245933787,-8.7061723,0.516022917
2020-01-01 21:00:00,0.43130413,-3.920464086,1.17517715,-8.187681792,0.735457175
2020-01-01 22:00:00,0.522941326,-4.344653814,1.142912123,-7.909996499,0.618926787
2020-01-01 23:00:00,1.033807625,-4.925572275,1.676700194,-7.585668755,0.815430868
2020-01-02 00:00:00,1.468088248,-5.200273454,2.254640406,-7.688173678,0.760454834
2020-01-02 01:00:00,2.792536871,-5.818453425,4.176298938,-8.510670134,0.439244421
2020-01-02 02:00:00,3.690428581,-5.504235074,5.44032012,-8.013328954,0.205807719
2020-01-02 03:00:00,3.893923678,-5.205664206,5.714882098,-7.581300609,0.190019729
2020-01-02 04:00:00,3.761368107,-5.021700568,5.649090832,-7.419089223,0.803495886
2020-01-02 05:00:00,3.591518614,-4.586108508,5.799840899,-7.160514637,0.755004215
2020-01-02 06:00:00,2.892257576,-3.52588589,5.290088095,-6.348387005,0.376750294
2020-01-02 07:00:00,2.571205551,-3.199826202,5.1227607,-6.386932285,0.567803766
2020-01-02 08:00:00,3.205607595,-0.550326921,7.329617355,-1.311803773,0.274222341
2020-01-02 09:00:00,2.901175687,0.764061549,7.027599179,1.817858809,0.154684708
